id;latitude;longitude;;LEQ
1;-7,312314;112,731014;92.298.377.760;92,29837776
2;-7,312336;112,731100;84.154.242.360;84,15424236
3;-7,312372;112,731234;75.051.603.880;75,05160388
4;-7,312247;112,730825;89.285.768.720;89,28576872
5;-7,312225;112,730731;82.423.081.340;82,42308134
6;-7,312192;112,730559;77.619.924.120;77,61992412
7;-7,318020;112,726773;79.352.298.490;79,35229849
8;-7,317981;112,726603;86.578.865.650;86,57886565
9;-7,317964;112,726509;91.532.488.940;91,53248894
10;-7,317836;112,726403;96.301.368.400;96,3013684
11;-7,317803;112,726311;85.847.594.220;85,84759422
12;-7,317714;112,726114;79.547.704.440;79,54770444
